genus,leaf_type
Celtis,
Populus,
Platanus,
Pinus,
Fraxinus,
Catalpa,
Tipuana,
Styphnolobium,
Olea,
Yucca,
Jacaranda,
Washingtonia,
Phoenix,
Gleditsia,
Cycas,
Ulmus,
Prunus,
Koelreuteria,
Melia,
Parrotia,
Ginkgo,
Paulownia,
Magnolia,
Chamaerops,
Acacia,
Syagrus,
Firmiana,
Grevillea,
Tilia,
Ligustrum,
Robinia,
Albizia,
Cupressus,
Corylus,
Schinus,
Acer,
Eucalyptus,
Brachychiton,
Cercis,
Bauhinia,
Liriodendron,
Phytolacca,
Quercus,
Broussonetia,
Laurus,
Hibiscus,
Butia,
Trachycarpus,
Chitalpa,
Alnus,
Pyrus,
Malus,
Eriobotrya,
Crataegus,
Photinia,
Cedrus,
Citrus,
Araucaria,
Lagerstroemia,
Parkinsonia,
Casuarina,
Morus,
Ostrya,
Aesculus,
Ceratonia,
Liquidambar,
Ailanthus,
Erythrina,
Platycladus,
Podocarpus,
Ceiba,
Ficus,
Maclura,
Handroanthus,
Nerium,
Sorbus,
Lagunaria,
Elaeagnus,
Tamarix,
Pistacia,
Cocculus,
Livistona,
Prosopis,
Juglans,
Eugenia,
Calocedrus,
Archontophoenix,
Metrosideros,
Punica,
Cinnamomum,
Cercidiphyllum,
Salix,
Leucaena,
Thuja,
Betula,
Callistemon,
Sense,
Ziziphus,
Tecoma,
Zelkova,
Nolina,
Pterocarya,
Rhamnus,
Sophora,
Rosa,
